Redshift Table,Databricks Table
prod_common.academy_certification,standardized.common.academy_certification
prod_common.academy_registration,standardized.common.academy_registration
prod_common.account,standardized.common.account
prod_common.account_executive_sales_quota,standardized.common.account_executive_sales_quota
prod_common.account_history,standardized.common.account_history
prod_common.account_snapshot,standardized.common.account_snapshot
prod_common.ad,standardized.common.ad
prod_common.ad_set,standardized.common.ad_set
prod_common.aggregated_google_ads_campaign_performance,standardized.common.aggregated_google_ads_campaign_performance
prod_common.algolia_site_metrics,standardized.common.algolia_site_metrics
prod_common.app_user_email_address,standardized.common.app_user_email_address
prod_common.application,standardized.common.application
prod_common.application,staging.dashboard.application
prod_common.application_user,standardized.common.application_user
prod_common.campaign,standardized.common.campaign
prod_common.campaign_group,standardized.common.campaign_group
prod_common.case_history,standardized.common.case_history
prod_common.common_channel_mapping,standardized.common.common_channel_mapping
prod_common.common_coupons,standardized.common.common_coupons
prod_common.common_infrastructure_location,standardized.common.common_infrastructure_location
prod_common.common_metis_instance,standardized.common.common_metis_instance
prod_common.common_sales_activities,standardized.common.common_sales_activities
prod_common.common_user_coupons,standardized.common.common_user_coupons
prod_common.common_xdr_meeting,standardized.common.common_xdr_meeting
prod_common.contact,standardized.common.contact
prod_common.creative_performance,standardized.common.creative_performance
prod_common.creatives,standardized.common.creatives
prod_common.dashboard_root_users,standardized.common.dashboard_root_users
prod_common.dim_date,standardized.common.dim_date
prod_common.dim_date,analytics.dimensional.dim_date
prod_common.employee,standardized.common.employee
prod_common.employee_history,standardized.common.employee_history
prod_common.fact_account_revenue,standardized.common.fact_account_revenue
prod_common.ga4_event_params,standardized.common.ga4_event_params
prod_common.ga4_events,standardized.common.ga4_events
prod_common.ga4_events,staging.google_analytics.ga4_events
prod_common.invoice,reverse_etl.gainsight.invoice
prod_common.invoice,standardized.common.invoice
prod_common.invoice_entry,staging.revenue.invoice_entry
prod_common.invoice_entry,standardized.common.invoice_entry
prod_common.jira_ticket,staging.jira.jira_ticket
prod_common.jira_ticket,standardized.common.jira_ticket
prod_common.jira_ticket_changelog,standardized.common.jira_ticket_changelog
prod_common.lead,standardized.common.lead
prod_common.marketing_touchpoint,standardized.common.marketing_touchpoint
prod_common.naics_code_reference,standardized.common.naics_code_reference
prod_common.opportunity_customer_success,standardized.common.opportunity_customer_success
prod_common.opportunity_snapshot,standardized.common.opportunity_snapshot
prod_common.opportunity_split,standardized.common.opportunity_split
prod_common.person,standardized.common.person
prod_common.person_instance,standardized.common.person_instance
prod_common.person_logic,standardized.common.person_logic
prod_common.plan,standardized.common.plan
prod_common.professional_services_activity,standardized.common.professional_services_activity
prod_common.recommend_model_run_metadata,staging.product.recommend_model_run_metadata
prod_common.recommend_model_run_metadata,standardized.common.recommend_model_run_metadata
prod_common.sales_line_item,standardized.common.sales_line_item
prod_common.sales_quote,analytics.dimensional.sales_quote
prod_common.sales_quote,standardized.common.sales_quote
prod_common.salesforce_case,staging.salesforce.salesforce_case
prod_common.salesforce_case,standardized.common.salesforce_case
prod_common.salesforce_contract,staging.salesforce.salesforce_contract
prod_common.salesforce_contract,standardized.common.salesforce_contract
prod_common.salesforce_opportunity,staging.salesforce.salesforce_opportunity
prod_common.salesforce_opportunity,standardized.common.salesforce_opportunity
prod_common.salesforce_pricebook,staging.salesforce.salesforce_pricebook
prod_common.salesforce_pricebook,standardized.common.salesforce_pricebook
prod_common.salesforce_sales_subscriptions,staging.salesforce.salesforce_sales_subscriptions
prod_common.salesforce_sales_subscriptions,standardized.common.salesforce_sales_subscriptions
prod_common.salesforce_user,standardized.common.salesforce_user
prod_common.salesforce_user,staging.salesforce.salesforce_user
prod_common.ua_sessions,standardized.common.ua_sessions
prod_common.user_agent_index_daily,standardized.common.user_agent_index_daily
prod_common.user_agent_index_daily,staging.usage.user_agent_index_daily
prod_common.website_pageviews,standardized.common.website_pageviews
prod_common.website_visitor_all,standardized.common.website_visitor_all
prod_dimensional.dim_account,analytics.dimensional.dim_account
prod_dimensional.dim_account_history,analytics.dimensional.dim_account_history
prod_dimensional.dim_account_tag,analytics.dimensional.dim_account_tag
prod_dimensional.dim_activity_type,analytics.dimensional.dim_activity_type
prod_dimensional.dim_ad,analytics.dimensional.dim_ad
prod_dimensional.dim_ad_set,analytics.dimensional.dim_ad_set
prod_dimensional.dim_application,analytics.dimensional.dim_application
prod_dimensional.dim_application_activation,analytics.dimensional.dim_application_activation
prod_dimensional.dim_application_all,analytics.dimensional.dim_application_all
prod_dimensional.dim_application_current_usage,analytics.dimensional.dim_application_current_usage
prod_dimensional.dim_application_lookup,analytics.dimensional.dim_application_lookup
prod_dimensional.dim_application_organization,analytics.dimensional.dim_application_organization
prod_dimensional.dim_campaign,analytics.dimensional.dim_campaign
