Redshift Database,Redshift Schema,Databricks Catalog,Databricks Schema
prod,archive,archive,*
prod,prod_reference,reference,*
prod,prod_algolia_target,reference,algolia_target
prod,census,metadata,census
prod,looker_scratch,metadata,looker_scratch
prod,looker_tmp,metadata,looker_tmp
prod,prod_data_quality,metadata,data_quality
prod,prod_dbt_test__audit,metadata,dbt_test__audit
prod,prod_elementary,metadata,elementary
prod,raw_adroll,source,adroll
prod,raw_analytics_api_external,source,analytics_api
prod,raw_bamboohr,source,bamboohr
prod,raw_bing_ads,source,bing_ads
prod,raw_connectivity_api__eu,source,connectivity_api__eu
prod,raw_connectivity_api__us,source,connectivity_api__us
prod,raw_connectivity_api_observability__eu,source,connectivity_api_observability__eu
prod,raw_connectivity_api_observability__us,source,connectivity_api_observability__us
prod,raw_crossbeam,source,crossbeam
prod,raw_dashboard,source,dashboard
prod,raw_demandbase,source,demandbase
prod,raw_einstein,source,einstein
prod,raw_ethical_ads,source,ethical_ads
prod,raw_ethical_ads_v2,source,ethical_ads_v2
prod,raw_events_external,source,events
prod,raw_facebook,source,facebook
prod,raw_facebook_ads,source,facebook_ads
prod,raw_feature_personalization_ai,source,feature_personalization_ai
prod,raw_feature_personalization_classic,source,feature_personalization_classic
prod,raw_feature_query_categorization,source,feature_query_categorization
prod,raw_feature_query_categorization_archive_external,source,feature_query_categorization_archive
prod,raw_feature_query_categorization_external,source,feature_query_categorization
prod,raw_gainsight,source,gainsight
prod,raw_galileo,source,galileo
prod,raw_github,source,github
prod,raw_github_external,source,github
prod,raw_google_ads,source,google_ads
prod,raw_google_analytics,source,google_analytics
prod,raw_google_analytics_4,source,google_analytics_4
prod,raw_google_sheets,source,google_sheets
prod,raw_helpscout,source,helpscout
prod,raw_infrastructure,source,infrastructure
prod,raw_infrastructure_costs,source,infrastructure_costs
prod,raw_jira,source,jira
prod,raw_linkedin_ads,source,linkedin_ads
prod,raw_marketo,archive,marketo
prod,raw_marketo_v2,source,marketo_v2
prod,raw_npm,source,npm
prod,raw_pigment,source,pigment
prod,raw_product,source,product
prod,raw_product_external,source,product
prod,product,source,product
prod,raw_realm_b2b,source,realm_b2b
